Entity,Code,Date,Total confirmed deaths (deaths),Daily new confirmed deaths (deaths),Days Since Third Death,Daily Confirmed Deaths avg
Albania,ALB,"Mar 28, 2020",9,3,0,3.0
Albania,ALB,"Mar 29, 2020",10,1,1,2.0
Albania,ALB,"Mar 30, 2020",10,0,2,1.3333333333333333
Albania,ALB,"Mar 31, 2020",12,2,3,1.5
Albania,ALB,"Apr 1, 2020",15,3,4,1.8
Albania,ALB,"Apr 2, 2020",15,0,5,1.5
Albania,ALB,"Apr 3, 2020",16,1,6,1.4285714285714286
Albania,ALB,"Apr 4, 2020",17,1,7,1.1428571428571428
Algeria,DZA,"Mar 21, 2020",10,3,0,1.4285714285714286
Algeria,DZA,"Mar 22, 2020",10,0,1,1.4285714285714286
Algeria,DZA,"Mar 23, 2020",15,5,2,1.8571428571428572
Algeria,DZA,"Mar 24, 2020",17,2,3,1.7142857142857142
Algeria,DZA,"Mar 25, 2020",17,0,4,1.7142857142857142
Algeria,DZA,"Mar 26, 2020",17,0,5,1.5714285714285714
Algeria,DZA,"Mar 27, 2020",21,4,6,2.0
Algeria,DZA,"Mar 28, 2020",21,0,7,1.5714285714285714
Algeria,DZA,"Mar 29, 2020",26,5,8,2.2857142857142856
Algeria,DZA,"Mar 30, 2020",29,3,9,2.0
Algeria,DZA,"Mar 31, 2020",31,2,10,2.0
Algeria,DZA,"Apr 1, 2020",35,4,11,2.5714285714285716
Algeria,DZA,"Apr 2, 2020",58,23,12,5.857142857142857
Algeria,DZA,"Apr 3, 2020",58,0,13,5.285714285714286
Algeria,DZA,"Apr 4, 2020",83,25,14,8.857142857142858
Andorra,AND,"Mar 27, 2020",3,3,0,8.571428571428571
Andorra,AND,"Mar 28, 2020",3,0,1,8.142857142857142
Andorra,AND,"Mar 29, 2020",4,1,2,8.0
Andorra,AND,"Mar 30, 2020",6,2,3,7.714285714285714
Andorra,AND,"Mar 31, 2020",8,2,4,4.714285714285714
Andorra,AND,"Apr 1, 2020",12,4,5,5.285714285714286
Andorra,AND,"Apr 2, 2020",14,2,6,2.0
Andorra,AND,"Apr 3, 2020",15,1,7,1.7142857142857142
Andorra,AND,"Apr 4, 2020",16,1,8,1.8571428571428572
Argentina,ARG,"Mar 27, 2020",12,4,0,2.2857142857142856
Argentina,ARG,"Mar 28, 2020",17,5,1,2.7142857142857144
Argentina,ARG,"Mar 29, 2020",19,2,2,2.7142857142857144
Argentina,ARG,"Mar 30, 2020",20,1,3,2.2857142857142856
Argentina,ARG,"Mar 31, 2020",24,4,4,2.5714285714285716
Argentina,ARG,"Apr 1, 2020",24,0,5,2.4285714285714284
Argentina,ARG,"Apr 2, 2020",31,7,6,3.2857142857142856
Argentina,ARG,"Apr 3, 2020",34,3,7,3.142857142857143
Argentina,ARG,"Apr 4, 2020",37,3,8,2.857142857142857
Armenia,ARM,"Apr 4, 2020",7,3,0,3.0
Australia,AUS,"Mar 26, 2020",11,3,0,3.2857142857142856
Australia,AUS,"Mar 27, 2020",13,2,1,3.0
Australia,AUS,"Mar 28, 2020",13,0,2,3.0
Australia,AUS,"Mar 29, 2020",14,1,3,2.142857142857143
Australia,AUS,"Mar 30, 2020",16,2,4,2.0
Australia,AUS,"Mar 31, 2020",19,3,5,2.0
Australia,AUS,"Apr 1, 2020",20,1,6,1.7142857142857142
Australia,AUS,"Apr 2, 2020",21,1,7,1.4285714285714286
Australia,AUS,"Apr 3, 2020",23,2,8,1.4285714285714286
Australia,AUS,"Apr 4, 2020",30,7,9,2.4285714285714284
Austria,AUT,"Mar 23, 2020",16,8,0,3.4285714285714284
Austria,AUT,"Mar 24, 2020",25,9,1,4.428571428571429
Austria,AUT,"Mar 25, 2020",30,5,2,4.714285714285714
Austria,AUT,"Mar 26, 2020",34,4,3,5.142857142857143
Austria,AUT,"Mar 27, 2020",52,18,4,7.571428571428571
Austria,AUT,"Mar 28, 2020",68,16,5,9.571428571428571
Austria,AUT,"Mar 29, 2020",68,0,6,8.571428571428571
Austria,AUT,"Mar 30, 2020",86,18,7,10.0
Austria,AUT,"Mar 31, 2020",108,22,8,11.857142857142858
Austria,AUT,"Apr 1, 2020",128,20,9,14.0
Austria,AUT,"Apr 2, 2020",146,18,10,16.0
Austria,AUT,"Apr 3, 2020",158,12,11,15.142857142857142
Austria,AUT,"Apr 4, 2020",168,10,12,14.285714285714286
Belarus,BLR,"Apr 3, 2020",4,4,0,14.857142857142858
Belarus,BLR,"Apr 4, 2020",4,0,1,12.285714285714286
Belgium,BEL,"Mar 12, 2020",3,3,0,9.571428571428571
Belgium,BEL,"Mar 13, 2020",3,0,1,6.714285714285714
Belgium,BEL,"Mar 14, 2020",3,0,2,4.142857142857143
Belgium,BEL,"Mar 15, 2020",4,1,3,2.5714285714285716
Belgium,BEL,"Mar 16, 2020",4,0,4,1.1428571428571428
Belgium,BEL,"Mar 17, 2020",5,1,5,0.7142857142857143
Belgium,BEL,"Mar 18, 2020",5,0,6,0.7142857142857143
Belgium,BEL,"Mar 19, 2020",14,9,7,1.5714285714285714
Belgium,BEL,"Mar 20, 2020",21,7,8,2.5714285714285716
Belgium,BEL,"Mar 21, 2020",37,16,9,4.857142857142857
Belgium,BEL,"Mar 22, 2020",67,30,10,9.0
