Entity,Code,Date,Total confirmed deaths (deaths),Daily new confirmed deaths (deaths),Daily Confirmed Deaths avg,Days Since Third Death
Algeria,DZA,"Apr 2, 2020",58,23,5.857142857142857,0
Algeria,DZA,"Apr 3, 2020",58,0,5.285714285714286,1
Algeria,DZA,"Apr 4, 2020",83,25,8.857142857142858,2
Algeria,DZA,"Apr 5, 2020",130,47,14.857142857142858,3
Algeria,DZA,"Apr 6, 2020",152,22,17.571428571428573,4
Algeria,DZA,"Apr 7, 2020",173,21,20.285714285714285,5
Argentina,ARG,"Apr 2, 2020",31,7,3.2857142857142856,0
Argentina,ARG,"Apr 3, 2020",34,3,3.142857142857143,1
Argentina,ARG,"Apr 4, 2020",37,3,2.857142857142857,2
Argentina,ARG,"Apr 5, 2020",43,6,3.4285714285714284,3
Argentina,ARG,"Apr 6, 2020",46,3,3.7142857142857144,4
Argentina,ARG,"Apr 7, 2020",53,7,4.142857142857143,5
Australia,AUS,"Apr 7, 2020",42,6,3.2857142857142856,0
Austria,AUT,"Mar 24, 2020",25,9,3.142857142857143,0
Austria,AUT,"Mar 25, 2020",30,5,3.857142857142857,1
Austria,AUT,"Mar 26, 2020",34,4,4.285714285714286,2
Austria,AUT,"Mar 27, 2020",52,18,6.571428571428571,3
Austria,AUT,"Mar 28, 2020",68,16,8.857142857142858,4
Austria,AUT,"Mar 29, 2020",68,0,8.571428571428571,5
Austria,AUT,"Mar 30, 2020",86,18,10.0,6
Austria,AUT,"Mar 31, 2020",108,22,11.857142857142858,7
Austria,AUT,"Apr 1, 2020",128,20,14.0,8
Austria,AUT,"Apr 2, 2020",146,18,16.0,9
Austria,AUT,"Apr 3, 2020",158,12,15.142857142857142,10
Austria,AUT,"Apr 4, 2020",168,10,14.285714285714286,11
Austria,AUT,"Apr 5, 2020",186,18,16.857142857142858,12
Austria,AUT,"Apr 6, 2020",204,18,16.857142857142858,13
Austria,AUT,"Apr 7, 2020",220,16,16.0,14
Belgium,BEL,"Mar 21, 2020",37,16,4.857142857142857,0
Belgium,BEL,"Mar 22, 2020",67,30,9.0,1
Belgium,BEL,"Mar 23, 2020",75,8,10.142857142857142,2
Belgium,BEL,"Mar 24, 2020",88,13,11.857142857142858,3
Belgium,BEL,"Mar 25, 2020",122,34,16.714285714285715,4
Belgium,BEL,"Mar 26, 2020",178,56,23.428571428571427,5
Belgium,BEL,"Mar 27, 2020",220,42,28.428571428571427,6
Belgium,BEL,"Mar 28, 2020",289,69,36.0,7
Belgium,BEL,"Mar 29, 2020",353,64,40.857142857142854,8
Belgium,BEL,"Mar 30, 2020",431,78,50.857142857142854,9
Belgium,BEL,"Mar 31, 2020",513,82,60.714285714285715,10
Belgium,BEL,"Apr 1, 2020",705,192,83.28571428571429,11
Belgium,BEL,"Apr 2, 2020",828,123,92.85714285714286,12
Belgium,BEL,"Apr 3, 2020",1011,183,113.0,13
Belgium,BEL,"Apr 4, 2020",1143,132,122.0,14
Belgium,BEL,"Apr 5, 2020",1283,140,132.85714285714286,15
Belgium,BEL,"Apr 6, 2020",1447,164,145.14285714285714,16
Belgium,BEL,"Apr 7, 2020",1632,185,159.85714285714286,17
Brazil,BRA,"Mar 23, 2020",25,7,3.5714285714285716,0
Brazil,BRA,"Mar 24, 2020",34,9,4.857142857142857,1
Brazil,BRA,"Mar 25, 2020",46,12,6.428571428571429,2
Brazil,BRA,"Mar 26, 2020",57,11,7.571428571428571,3
Brazil,BRA,"Mar 27, 2020",77,20,10.142857142857142,4
Brazil,BRA,"Mar 28, 2020",92,15,11.571428571428571,5
Brazil,BRA,"Mar 29, 2020",114,22,13.714285714285714,6
Brazil,BRA,"Mar 30, 2020",136,22,15.857142857142858,7
Brazil,BRA,"Mar 31, 2020",159,23,17.857142857142858,8
Brazil,BRA,"Apr 1, 2020",201,42,22.142857142857142,9
Brazil,BRA,"Apr 2, 2020",241,40,26.285714285714285,10
Brazil,BRA,"Apr 3, 2020",299,58,31.714285714285715,11
Brazil,BRA,"Apr 4, 2020",359,60,38.142857142857146,12
Brazil,BRA,"Apr 5, 2020",432,73,45.42857142857143,13
Brazil,BRA,"Apr 6, 2020",486,54,50.0,14
Brazil,BRA,"Apr 7, 2020",553,67,56.285714285714285,15
Canada,CAN,"Mar 26, 2020",35,8,3.7142857142857144,0
Canada,CAN,"Mar 27, 2020",39,4,4.142857142857143,1
Canada,CAN,"Mar 28, 2020",53,14,5.857142857142857,2
Canada,CAN,"Mar 29, 2020",60,7,6.714285714285714,3
Canada,CAN,"Mar 30, 2020",61,1,6.142857142857143,4
Canada,CAN,"Mar 31, 2020",89,28,9.285714285714286,5
Canada,CAN,"Apr 1, 2020",96,7,9.857142857142858,6
Canada,CAN,"Apr 2, 2020",109,13,10.571428571428571,7
Canada,CAN,"Apr 3, 2020",138,29,14.142857142857142,8
Canada,CAN,"Apr 4, 2020",187,49,19.142857142857142,9
Canada,CAN,"Apr 5, 2020",231,44,24.428571428571427,10
Canada,CAN,"Apr 6, 2020",280,49,31.285714285714285,11
Canada,CAN,"Apr 7, 2020",323,43,33.42857142857143,12
Chile,CHL,"Apr 5, 2020",27,5,3.0,0
Chile,CHL,"Apr 6, 2020",34,7,3.857142857142857,1
Chile,CHL,"Apr 7, 2020",37,3,4.142857142857143,2
China,CHN,"Jan 24, 2020",26,9,3.4285714285714284,0
China,CHN,"Jan 25, 2020",41,15,5.571428571428571,1
China,CHN,"Jan 26, 2020",56,15,7.571428571428571,2
China,CHN,"Jan 27, 2020",81,25,11.142857142857142,3
China,CHN,"Jan 28, 2020",106,25,14.285714285714286,4
China,CHN,"Jan 29, 2020",132,26,16.428571428571427,5
China,CHN,"Jan 30, 2020",170,38,21.857142857142858,6
China,CHN,"Jan 31, 2020",213,43,26.714285714285715,7
China,CHN,"Feb 1, 2020",259,46,31.142857142857142,8
China,CHN,"Feb 2, 2020",304,45,35.42857142857143,9
China,CHN,"Feb 3, 2020",361,57,40.0,10
China,CHN,"Feb 4, 2020",426,65,45.714285714285715,11
China,CHN,"Feb 5, 2020",492,66,51.42857142857143,12
China,CHN,"Feb 6, 2020",564,72,56.285714285714285,13
China,CHN,"Feb 7, 2020",637,73,60.57142857142857,14
China,CHN,"Feb 8, 2020",723,86,66.28571428571429,15
China,CHN,"Feb 9, 2020",812,89,72.57142857142857,16
China,CHN,"Feb 10, 2020",909,97,78.28571428571429,17
China,CHN,"Feb 11, 2020",1017,108,84.42857142857143,18
China,CHN,"Feb 12, 2020",1114,97,88.85714285714286,19
China,CHN,"Feb 13, 2020",1368,254,114.85714285714286,20
China,CHN,"Feb 14, 2020",1381,13,106.28571428571429,21
China,CHN,"Feb 15, 2020",1524,143,114.42857142857143,22
China,CHN,"Feb 16, 2020",1666,142,122.0,23
China,CHN,"Feb 17, 2020",1771,105,123.14285714285714,24
China,CHN,"Feb 18, 2020",1869,98,121.71428571428571,25
China,CHN,"Feb 19, 2020",2008,139,127.71428571428571,26
China,CHN,"Feb 20, 2020",2120,112,107.42857142857143,27
China,CHN,"Feb 21, 2020",2238,118,122.42857142857143,28
China,CHN,"Feb 22, 2020",2347,109,117.57142857142857,29
China,CHN,"Feb 23, 2020",2445,98,111.28571428571429,30
China,CHN,"Feb 24, 2020",2595,150,117.71428571428571,31
China,CHN,"Feb 25, 2020",2665,70,113.71428571428571,32
China,CHN,"Feb 26, 2020",2717,52,101.28571428571429,33
China,CHN,"Feb 27, 2020",2746,29,89.42857142857143,34
China,CHN,"Feb 28, 2020",2790,44,78.85714285714286,35
China,CHN,"Feb 29, 2020",2837,47,70.0,36
China,CHN,"Mar 1, 2020",2872,35,61.0,37
China,CHN,"Mar 2, 2020",2914,42,45.57142857142857,38
China,CHN,"Mar 3, 2020",2946,32,40.142857142857146,39
China,CHN,"Mar 4, 2020",2983,37,38.0,40
China,CHN,"Mar 5, 2020",3014,31,38.285714285714285,41
China,CHN,"Mar 6, 2020",3044,30,36.285714285714285,42
China,CHN,"Mar 7, 2020",3072,28,33.57142857142857,43
China,CHN,"Mar 8, 2020",3099,27,32.42857142857143,44
China,CHN,"Mar 9, 2020",3122,23,29.714285714285715,45
China,CHN,"Mar 10, 2020",3139,17,27.571428571428573,46
China,CHN,"Mar 11, 2020",3161,22,25.428571428571427,47
China,CHN,"Mar 12, 2020",3172,11,22.571428571428573,48
China,CHN,"Mar 13, 2020",3179,7,19.285714285714285,49
China,CHN,"Mar 14, 2020",3194,15,17.428571428571427,50
